id,inference_provider,model_provider,human_readable_name,model_provider_country,official_url,input_modalities,output_modalities,rate_limits,provider_api_access,created_at,updated_at,license_info_text,license_info_url,license_name,license_url
,Google,Google,Embedding Gecko 001,United States,https://ai.google.dev/gemini-api/docs/embeddings,Text,Text Embeddings,"100 requests/min, 30K tokens/min, 1,000 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.607769+00:00,2025-09-12T23:02:22.607808+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 1.5 Pro Latest,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"15 requests/min, 250K tokens/min, 50 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.608799+00:00,2025-09-12T23:02:22.608831+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 1.5 Pro 002,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"15 requests/min, 250K tokens/min, 50 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.609511+00:00,2025-09-12T23:02:22.609535+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 1.5 Pro,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"15 requests/min, 250K tokens/min, 50 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.610131+00:00,2025-09-12T23:02:22.610149+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 1.5 Flash Latest,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"15 requests/min, 250K tokens/min, 50 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.610779+00:00,2025-09-12T23:02:22.610800+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 1.5 Flash,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"15 requests/min, 250K tokens/min, 50 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.611416+00:00,2025-09-12T23:02:22.611435+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 1.5 Flash 002,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"15 requests/min, 250K tokens/min, 50 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.611992+00:00,2025-09-12T23:02:22.612006+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 1.5 Flash 8B,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"15 requests/min, 250K tokens/min, 50 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.612760+00:00,2025-09-12T23:02:22.612785+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 1.5 Flash 8B 001,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"15 requests/min, 250K tokens/min, 50 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.613522+00:00,2025-09-12T23:02:22.613548+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 1.5 Flash 8B Latest,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"15 requests/min, 250K tokens/min, 50 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.614160+00:00,2025-09-12T23:02:22.614180+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 2.5 Flash,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"10 requests/min, 250K tokens/min, 250 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.614846+00:00,2025-09-12T23:02:22.614867+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 2.5 Pro,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video, PDF",Text,"5 requests/min, 250K tokens/min, 100 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.615516+00:00,2025-09-12T23:02:22.615555+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 2.0 Flash,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"15 requests/min, 1M tokens/min, 200 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.616119+00:00,2025-09-12T23:02:22.616137+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 2.0 Flash 001,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"15 requests/min, 1M tokens/min, 200 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.616717+00:00,2025-09-12T23:02:22.616735+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 2.0 Flash-Lite 001,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"15 requests/min, 1M tokens/min, 200 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.617388+00:00,2025-09-12T23:02:22.617409+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 2.0 Flash-Lite,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"15 requests/min, 1M tokens/min, 200 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.617951+00:00,2025-09-12T23:02:22.617966+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemma 3 1B IT,United States,https://deepmind.google/models/gemma/,"Text, Image",Text,"30 requests/min, 15K tokens/min, 14,400 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.618597+00:00,2025-09-12T23:02:22.618619+00:00,,,Gemma,https://ai.google.dev/gemma/terms
,Google,Google,Gemma 3 4B IT,United States,https://deepmind.google/models/gemma/,"Text, Image",Text,"30 requests/min, 15K tokens/min, 14,400 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.619195+00:00,2025-09-12T23:02:22.619212+00:00,,,Gemma,https://ai.google.dev/gemma/terms
,Google,Google,Gemma 3 12B IT,United States,https://deepmind.google/models/gemma/,"Text, Image",Text,"30 requests/min, 15K tokens/min, 14,400 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.619882+00:00,2025-09-12T23:02:22.619903+00:00,,,Gemma,https://ai.google.dev/gemma/terms
,Google,Google,Gemma 3 27B IT,United States,https://deepmind.google/models/gemma/,"Text, Image",Text,"30 requests/min, 15K tokens/min, 14,400 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.620585+00:00,2025-09-12T23:02:22.620608+00:00,,,Gemma,https://ai.google.dev/gemma/terms
,Google,Google,Gemma 3n E4B IT,United States,https://deepmind.google/models/gemma/,"Text, Image, Audio, Video",Text,"30 requests/min, 15K tokens/min, 14,400 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.621276+00:00,2025-09-12T23:02:22.621297+00:00,,,Gemma,https://ai.google.dev/gemma/terms
,Google,Google,Gemma 3n E2B IT,United States,https://deepmind.google/models/gemma/,"Text, Image, Audio, Video",Text,"30 requests/min, 15K tokens/min, 14,400 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.621951+00:00,2025-09-12T23:02:22.621971+00:00,,,Gemma,https://ai.google.dev/gemma/terms
,Google,Google,Gemini 2.5 Flash-Lite,United States,https://deepmind.google/models/gemini/,"Text, Image, Audio, Video",Text,"10 requests/min, 250K tokens/min, 250 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.622600+00:00,2025-09-12T23:02:22.622622+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Embedding 001,United States,https://ai.google.dev/gemini-api/docs/embeddings,Text,Text Embeddings,"100 requests/min, 30K tokens/min, 1,000 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.623188+00:00,2025-09-12T23:02:22.623205+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Text Embedding 004,United States,https://ai.google.dev/gemini-api/docs/embeddings,Text,Text Embeddings,"100 requests/min, 30K tokens/min, 1,000 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.623779+00:00,2025-09-12T23:02:22.623796+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini Embedding 001,United States,https://deepmind.google/models/gemini/,Text,Text Embeddings,"100 requests/min, 30K tokens/min, 1,000 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.624342+00:00,2025-09-12T23:02:22.624386+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,AQA,United States,https://deepmind.google/models/gemini/,Text,Text,"15 requests/min, 1M tokens/min, 200 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.624797+00:00,2025-09-12T23:02:22.624810+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Imagen 3.0 Generate 002,United States,https://deepmind.google/models/imagen/,Text,Image,"Input: 480 tokens, Output: up to 4 images",https://aistudio.google.com/apikey,2025-09-12T23:02:22.625470+00:00,2025-09-12T23:02:22.625489+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Imagen 4.0 Generate 001,United States,https://deepmind.google/models/imagen/,Text,Image,"Input: 480 tokens, Output: up to 4 images",https://aistudio.google.com/apikey,2025-09-12T23:02:22.626121+00:00,2025-09-12T23:02:22.626141+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Imagen 4.0 Ultra Generate 001,United States,https://deepmind.google/models/imagen/,Text,Image,"Input: 480 tokens, Output: up to 4 images",https://aistudio.google.com/apikey,2025-09-12T23:02:22.626739+00:00,2025-09-12T23:02:22.626756+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Imagen 4.0 Fast Generate 001,United States,https://deepmind.google/models/imagen/,Text,Image,"Input: 480 tokens, Output: up to 4 images",https://aistudio.google.com/apikey,2025-09-12T23:02:22.627408+00:00,2025-09-12T23:02:22.627429+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
,Google,Google,Gemini 2.0 Flash Live 001,United States,https://deepmind.google/models/gemini/,"Text, Audio, Video","Text, Audio","15 requests/min, 1M tokens/min, 200 requests/day",https://aistudio.google.com/apikey,2025-09-12T23:02:22.628079+00:00,2025-09-12T23:02:22.628100+00:00,Google,https://developers.google.com/terms,Gemini,https://ai.google.dev/gemini-api/terms
